,worldwide_gross_income_currency,worldwide_gross_income,usa_gross_income_currency,usa_gross_income,budget_currency,budget
1814,USD,19033 ,USD,19033 ,,
1815,USD,19037 ,USD,19037 ,,
1816,,,USD,19040 ,,
1817,USD,19084 ,USD,19084 ,EUR,1450000
1818,USD,19120 ,USD,19120 ,,
1819,USD,19128 ,USD,19128 ,,
1820,USD,19137 ,USD,19137 ,USD,3000000 
1821,USD,19140 ,USD,19140 ,,
1822,USD,32609 ,USD,19181 ,USD,1500000 
1823,USD,226026 ,USD,19292 ,,
1824,USD,1491168 ,USD,19300 ,,
1825,USD,1389920 ,USD,19327 ,EUR,4000000
1826,USD,694422 ,USD,19367 ,GBP,900000
1827,USD,19367 ,USD,19367 ,,
1828,USD,19373 ,USD,19373 ,CAD,2000000
1829,,,USD,19381 ,,
1830,USD,19411 ,USD,19411 ,,
1831,USD,19450 ,USD,19450 ,,
1832,USD,19462 ,USD,19462 ,,
1833,USD,19478 ,USD,19478 ,,
1834,USD,19480 ,USD,19480 ,,
1835,USD,2290889 ,USD,19501 ,,
1836,USD,50611 ,USD,19504 ,,
1837,USD,620388 ,USD,19521 ,,
1838,USD,19597 ,USD,19597 ,,
1839,USD,19613 ,USD,19613 ,,
1840,USD,1196469 ,USD,19631 ,,
1841,USD,19632 ,USD,19632 ,,
1842,USD,641929 ,USD,19684 ,,
1843,USD,20657 ,USD,19696 ,,
1844,USD,19698 ,USD,19698 ,,
1845,USD,1181182 ,USD,19710 ,,
1846,USD,165894 ,USD,19712 ,,
1847,USD,19716 ,USD,19716 ,USD,10000000 
1848,USD,32416 ,USD,19722 ,,
1849,USD,19753 ,USD,19753 ,,
1850,USD,19777 ,USD,19777 ,,
1851,USD,19789 ,USD,19789 ,,
1852,USD,1412753 ,USD,19791 ,,
1853,USD,19823 ,USD,19823 ,USD,2000000 
1854,,,USD,19858 ,,
1855,USD,805755 ,USD,19861 ,,
1856,USD,19867 ,USD,19867 ,,
1857,USD,905291 ,USD,19875 ,,
1858,USD,19889 ,USD,19889 ,,
1859,USD,27183 ,USD,19908 ,USD,1000000 
1860,USD,19919 ,USD,19919 ,,
1861,USD,2588859 ,USD,19978 ,EUR,10000000
1862,USD,97204 ,USD,19984 ,,
1863,USD,2343302 ,USD,19996 ,EUR,9150000
1864,USD,21994 ,USD,20013 ,,
1865,USD,20017 ,USD,20017 ,,
1866,USD,20031 ,USD,20031 ,,
1867,USD,205036 ,USD,20056 ,,
1868,USD,57189 ,USD,20061 ,,
1869,USD,20099 ,USD,20099 ,,
1870,USD,20136 ,USD,20136 ,,
1871,USD,20138 ,USD,20138 ,,
1872,,,USD,20167 ,,
1873,USD,6303792 ,USD,20169 ,,
1874,,,USD,20178 ,,
1875,USD,20183 ,USD,20183 ,,
1876,USD,20194 ,USD,20194 ,,
1877,USD,20208 ,USD,20208 ,,
1878,USD,601815 ,USD,20237 ,,
1879,USD,779835 ,USD,20262 ,USD,4000000 
1880,,,USD,20267 ,,
1881,USD,20279 ,USD,20279 ,,
1882,USD,80631 ,USD,20285 ,USD,1400000 
1883,USD,139653 ,USD,20296 ,,
1884,USD,20361 ,USD,20361 ,GBP,14000
1885,USD,176288 ,USD,20369 ,,
1886,USD,2269892 ,USD,20374 ,,
1887,USD,25574387 ,USD,20431 ,,
1888,USD,38348 ,USD,20435 ,,
1889,USD,20441 ,USD,20441 ,,
1890,USD,906995 ,USD,20444 ,USD,25000000 
1891,,,USD,20450 ,,
1892,,,USD,20468 ,,
1893,USD,632017 ,USD,20474 ,,
1894,USD,20476 ,USD,20476 ,,
1895,USD,173763 ,USD,20501 ,,
1896,USD,20523 ,USD,20523 ,,
1897,USD,20555 ,USD,20555 ,,
1898,USD,20615 ,USD,20615 ,USD,500000 
1899,USD,24963 ,USD,20666 ,USD,1000000 
1900,USD,20677 ,USD,20677 ,,
1901,USD,687406 ,USD,20677 ,,
1902,USD,6410058 ,USD,20678 ,USD,5000000 
1903,USD,153895 ,USD,20726 ,,
1904,USD,20795 ,USD,20795 ,USD,2000000 
1905,USD,20807 ,USD,20807 ,USD,3800000 
1906,USD,20840 ,USD,20840 ,,
1907,USD,20874 ,USD,20874 ,,
1908,USD,20907 ,USD,20907 ,,
1909,USD,343818 ,USD,20930 ,USD,3800000 
1910,USD,67110 ,USD,20931 ,,
1911,USD,20940 ,USD,20940 ,,
1912,USD,80848 ,USD,20984 ,,
1913,USD,653866 ,USD,20991 ,GBP,5400000
1914,USD,1577272 ,USD,20998 ,USD,26350000 
1915,USD,20998 ,USD,20998 ,,
1916,USD,22313 ,USD,21008 ,,
1917,USD,21031 ,USD,21031 ,,
1918,USD,3373474 ,USD,21072 ,,
1919,USD,321423 ,USD,21087 ,,
1920,USD,21106 ,USD,21106 ,,
1921,USD,21108 ,USD,21108 ,,
1922,USD,21124 ,USD,21124 ,,
1923,USD,21197 ,USD,21197 ,,
1924,USD,21206 ,USD,21206 ,,
1925,USD,1318468 ,USD,21252 ,,
1926,USD,243793 ,USD,21256 ,USD,16500000 
1927,USD,21264 ,USD,21264 ,,
1928,USD,49128 ,USD,21267 ,,
1929,USD,52462 ,USD,21278 ,,
1930,USD,21285 ,USD,21285 ,USD,1500000 
1931,USD,21286 ,USD,21286 ,,
1932,USD,21316 ,USD,21316 ,,
1933,USD,21366 ,USD,21366 ,,
1934,USD,80546 ,USD,21381 ,,
1935,USD,21398 ,USD,21398 ,USD,750000 
1936,USD,21419 ,USD,21419 ,,
1937,USD,21427 ,USD,21427 ,,
1938,USD,1843810 ,USD,21438 ,,
1939,USD,21456 ,USD,21456 ,,
1940,,,USD,21496 ,,
1941,USD,1211573 ,USD,21496 ,,
1942,USD,73383 ,USD,21497 ,USD,12000000 
1943,USD,27542 ,USD,21504 ,USD,350000 
1944,USD,21508 ,USD,21508 ,,
1945,USD,21515 ,USD,21515 ,,
1946,USD,21521 ,USD,21521 ,,
1947,USD,21527 ,USD,21527 ,USD,5000000 
1948,USD,21589 ,USD,21589 ,,
1949,USD,86061 ,USD,21589 ,,
1950,USD,109386 ,USD,21598 ,EUR,600
1951,USD,21600 ,USD,21600 ,GBP,15000
1952,USD,21626 ,USD,21626 ,,
1953,USD,21638 ,USD,21638 ,,
1954,USD,21648 ,USD,21648 ,,
1955,USD,23719 ,USD,21659 ,,
1956,USD,21679 ,USD,21679 ,USD,1800000 
1957,USD,21679 ,USD,21679 ,,
1958,USD,33217 ,USD,21766 ,,
1959,USD,2094901 ,USD,21770 ,,
1960,USD,21779 ,USD,21779 ,,
1961,USD,21786 ,USD,21786 ,,
1962,USD,121020 ,USD,21787 ,,
1963,USD,5994921 ,USD,21796 ,,
1964,USD,21818 ,USD,21818 ,USD,12000 
1965,USD,94646 ,USD,21821 ,,
1966,USD,23589 ,USD,21832 ,,
1967,USD,805574 ,USD,21833 ,,
1968,USD,21877 ,USD,21877 ,,
1969,USD,21886 ,USD,21886 ,,
1970,USD,21888 ,USD,21888 ,,
1971,USD,206784 ,USD,21900 ,USD,250050 
1972,USD,21905 ,USD,21905 ,,
1973,USD,7115988 ,USD,21952 ,,
1974,USD,22000 ,USD,22000 ,,
1975,USD,225254 ,USD,22004 ,,
1976,,,USD,22007 ,,
1977,USD,22011 ,USD,22011 ,,
1978,USD,17535962 ,USD,22017 ,EUR,14582000
1979,USD,22029 ,USD,22029 ,,
1980,USD,22039 ,USD,22039 ,,
1981,USD,1000056 ,USD,22061 ,,
1982,USD,46392 ,USD,22076 ,,
1983,USD,3623330 ,USD,22080 ,EUR,103000
1984,USD,22081 ,USD,22081 ,,
1985,USD,22083 ,USD,22083 ,,
1986,USD,28631 ,USD,22091 ,,
1987,USD,22107 ,USD,22107 ,,
1988,USD,67736 ,USD,22121 ,,
1989,,,USD,22123 ,,
1990,USD,22136 ,USD,22136 ,,
1991,USD,22167 ,USD,22167 ,USD,50000 
1992,USD,119266 ,USD,22168 ,RUR,622000
1993,USD,56594 ,USD,22168 ,RUR,1000000
1994,USD,55099 ,USD,22168 ,,
1995,USD,22180 ,USD,22180 ,,
1996,USD,38974 ,USD,22214 ,,
1997,USD,61122 ,USD,22251 ,USD,1500000 
1998,USD,22260 ,USD,22260 ,,
1999,USD,22267 ,USD,22267 ,,
2000,USD,48174 ,USD,22270 ,,
2001,USD,22272 ,USD,22272 ,,
2002,USD,22282 ,USD,22282 ,USD,3000000 
2003,USD,2162711 ,USD,22301 ,,
2004,USD,676111 ,USD,22321 ,,
2005,USD,223993 ,USD,22393 ,,
2006,USD,354628 ,USD,22406 ,GBP,3500000
2007,USD,22440 ,USD,22440 ,,
2008,USD,508084 ,USD,22441 ,USD,15000000 
2009,USD,22464 ,USD,22464 ,,
2010,USD,22480 ,USD,22480 ,,
2011,USD,7858183 ,USD,22480 ,,
2012,,,USD,22500 ,,
2013,USD,382879 ,USD,22554 ,,
2014,USD,1618085 ,USD,22555 ,,
2015,USD,1649260 ,USD,22620 ,,
2016,USD,1068682 ,USD,22729 ,USD,10000000 
2017,USD,22731 ,USD,22731 ,,
2018,USD,22765 ,USD,22765 ,,
2019,USD,22779 ,USD,22779 ,,
2020,USD,402252 ,USD,22788 ,,
2021,USD,26923 ,USD,22815 ,,
2022,USD,508169 ,USD,22815 ,,
2023,USD,22826 ,USD,22826 ,,
2024,USD,131195 ,USD,22834 ,,
2025,USD,92654 ,USD,22836 ,USD,2000000 
2026,USD,628807 ,USD,22862 ,,
2027,USD,22891 ,USD,22891 ,,
2028,USD,57416 ,USD,22898 ,,
2029,USD,22900 ,USD,22900 ,,
2030,USD,112357 ,USD,22943 ,USD,5000000 
2031,USD,23020 ,USD,23020 ,,
2032,USD,23034 ,USD,23034 ,,
2033,USD,7555591 ,USD,23050 ,,
2034,USD,604400 ,USD,23106 ,DKK,50000000
2035,USD,181662 ,USD,23124 ,,
2036,USD,824856 ,USD,23192 ,,
2037,USD,700215 ,USD,23203 ,,
2038,USD,430568 ,USD,23248 ,,
2039,USD,52431 ,USD,23268 ,,
2040,USD,154210 ,USD,23308 ,,
2041,USD,23371 ,USD,23371 ,,
2042,,,USD,23374 ,,
2043,USD,3734799 ,USD,23392 ,EUR,12500000
2044,USD,23412 ,USD,23412 ,USD,3000000 
2045,USD,23419 ,USD,23419 ,,
2046,USD,6175003 ,USD,23442 ,,
2047,USD,23457 ,USD,23457 ,USD,1000000 
2048,USD,77717014 ,USD,23462 ,CNY,45000000
2049,USD,150609 ,USD,23465 ,USD,60000 
2050,USD,23488 ,USD,23488 ,,
2051,USD,41772 ,USD,23520 ,,
2052,USD,23562 ,USD,23562 ,,
2053,,,USD,23567 ,,
2054,USD,199891 ,USD,23571 ,USD,120000 
2055,USD,23616 ,USD,23616 ,USD,600000 
2056,,,USD,23616 ,,
2057,USD,1229330 ,USD,23624 ,USD,5000000 
2058,USD,121258 ,USD,23662 ,USD,15000000 
2059,USD,35275 ,USD,23665 ,,
2060,USD,1261210 ,USD,23671 ,USD,10000000 
2061,USD,813096 ,USD,23686 ,,
2062,USD,23808 ,USD,23808 ,,
2063,USD,23833 ,USD,23833 ,,
2064,USD,1226577 ,USD,23844 ,,
2065,,,USD,23862 ,,
2066,USD,25091 ,USD,23884 ,,
2067,USD,23918 ,USD,23918 ,,
2068,USD,28146 ,USD,23919 ,,
2069,USD,23946 ,USD,23946 ,,
2070,USD,23968 ,USD,23968 ,USD,900000 
2071,USD,36402 ,USD,23986 ,,
2072,USD,23986 ,USD,23986 ,,
2073,USD,24036 ,USD,24036 ,USD,900000 
2074,USD,69961 ,USD,24036 ,,
2075,USD,1443335 ,USD,24038 ,,
2076,USD,24079 ,USD,24079 ,,
2077,USD,187191 ,USD,24084 ,GBP,7000000
2078,USD,9612469 ,USD,24094 ,USD,35000000 
2079,USD,44178 ,USD,24098 ,,
2080,USD,24110 ,USD,24110 ,,
2081,USD,7663798 ,USD,24134 ,,
2082,USD,24137 ,USD,24137 ,,
2083,USD,24140 ,USD,24140 ,,
2084,USD,79226 ,USD,24216 ,USD,750000 
2085,USD,24248 ,USD,24248 ,,
2086,USD,2413540 ,USD,24262 ,,
2087,USD,1709036 ,USD,24267 ,EUR,3600000
2088,USD,24272 ,USD,24272 ,,
2089,USD,3716820 ,USD,24281 ,,
2090,USD,24296 ,USD,24296 ,USD,180000 
2091,USD,48767 ,USD,24296 ,,
2092,USD,101807 ,USD,24296 ,,
2093,USD,40581 ,USD,24358 ,,
2094,USD,24375 ,USD,24375 ,USD,250000 
2095,USD,65974 ,USD,24381 ,,
2096,USD,24391 ,USD,24391 ,,
2097,USD,24425 ,USD,24425 ,,
2098,USD,24452 ,USD,24452 ,,
2099,USD,680728 ,USD,24470 ,,
2100,USD,24476 ,USD,24476 ,USD,720000 
2101,USD,1893270 ,USD,24502 ,,
2102,USD,24517 ,USD,24517 ,USD,64000 
2103,USD,439935 ,USD,24525 ,,
2104,USD,24529 ,USD,24529 ,,
2105,USD,24544 ,USD,24544 ,,
2106,USD,24554 ,USD,24554 ,USD,1100000 
2107,USD,241072 ,USD,24565 ,EUR,4000000
2108,USD,54048 ,USD,24625 ,,
2109,USD,27735 ,USD,24629 ,,
2110,USD,141433 ,USD,24638 ,,
2111,USD,24657 ,USD,24657 ,,
2112,USD,1377748 ,USD,24708 ,,
2113,USD,24727 ,USD,24727 ,,
2114,USD,166022 ,USD,24746 ,USD,100000 
2115,USD,7455398 ,USD,24752 ,EUR,8500000
2116,USD,55985 ,USD,24770 ,,
2117,,,USD,24790 ,,
2118,USD,24844 ,USD,24844 ,ZAR,15000000
2119,USD,26865 ,USD,24852 ,,
2120,USD,24956 ,USD,24956 ,USD,5500000 
2121,USD,64424 ,USD,24966 ,,
2122,USD,24997 ,USD,24997 ,USD,1500000 
2123,USD,45659 ,USD,25000 ,USD,4000000 
2124,USD,25000 ,USD,25000 ,,
2125,USD,25000 ,USD,25000 ,,
2126,,,USD,25000 ,,
2127,USD,25000 ,USD,25000 ,,
2128,USD,25015 ,USD,25015 ,USD,1000000 
2129,USD,25027 ,USD,25027 ,,
2130,USD,459098 ,USD,25032 ,USD,10000000 
2131,USD,611365 ,USD,25079 ,,
2132,USD,82959 ,USD,25183 ,,
2133,,,USD,25193 ,,
2134,USD,25206 ,USD,25206 ,USD,1100 
2135,USD,2446362 ,USD,25229 ,,
2136,USD,25247 ,USD,25247 ,,
2137,USD,38004 ,USD,25306 ,USD,3700000 
2138,,,USD,25309 ,,
2139,USD,626871 ,USD,25328 ,,
2140,USD,339014 ,USD,25339 ,,
2141,USD,25342 ,USD,25342 ,,
2142,USD,2294291 ,USD,25343 ,,
2143,USD,37887 ,USD,25368 ,USD,4000000 
2144,USD,62743 ,USD,25386 ,USD,25000 
2145,USD,452191 ,USD,25423 ,,
2146,USD,1713421 ,USD,25440 ,,
2147,USD,25461 ,USD,25461 ,FRF,10000000
2148,USD,25480 ,USD,25480 ,USD,650000 
2149,USD,25517 ,USD,25517 ,USD,5000000 
2150,USD,25526 ,USD,25526 ,,
2151,USD,25531 ,USD,25531 ,,
2152,USD,25572 ,USD,25572 ,USD,40000 
2153,USD,8785730 ,USD,25611 ,,
2154,USD,54836 ,USD,25648 ,,
2155,USD,34649 ,USD,25678 ,,
2156,USD,25695 ,USD,25695 ,,
2157,USD,77590 ,USD,25696 ,,
2158,USD,25728 ,USD,25728 ,,
2159,USD,25751 ,USD,25751 ,,
2160,USD,51499 ,USD,25752 ,,
2161,USD,2602098 ,USD,25775 ,USD,10000000 
2162,USD,25824 ,USD,25824 ,,
2163,USD,25844 ,USD,25844 ,,
2164,USD,25845 ,USD,25845 ,,
2165,USD,34393 ,USD,25856 ,,
2166,USD,25860 ,USD,25860 ,,
2167,USD,25900 ,USD,25900 ,USD,5000000 
2168,USD,25916 ,USD,25916 ,,
2169,USD,26618 ,USD,26002 ,,
2170,USD,26004 ,USD,26004 ,,
2171,USD,26011 ,USD,26011 ,,
2172,USD,26019 ,USD,26019 ,,
2173,USD,26041 ,USD,26041 ,,
2174,USD,1818293 ,USD,26042 ,,
2175,USD,26055 ,USD,26055 ,USD,9000000 
2176,USD,26064 ,USD,26064 ,USD,2000000 
2177,USD,26087 ,USD,26087 ,,
2178,USD,26123 ,USD,26123 ,,
2179,USD,4323120 ,USD,26144 ,EUR,5000000
2180,USD,106379 ,USD,26167 ,,
2181,USD,276576 ,USD,26258 ,,
2182,USD,26282 ,USD,26282 ,,
2183,USD,26284 ,USD,26284 ,,
2184,USD,26351 ,USD,26351 ,USD,68000 
2185,USD,1505434 ,USD,26376 ,,
2186,USD,26377 ,USD,26377 ,,
2187,,,USD,26394 ,,
2188,USD,3419456 ,USD,26403 ,USD,3700000 
2189,USD,26409 ,USD,26409 ,,
2190,USD,40194 ,USD,26472 ,,
2191,USD,38082 ,USD,26485 ,,
2192,USD,83439 ,USD,26511 ,,
2193,USD,26558 ,USD,26558 ,GBP,3500000
2194,USD,323776 ,USD,26630 ,,
2195,,,USD,26641 ,,
2196,USD,6294161 ,USD,26650 ,GBP,3000000
2197,USD,1384105 ,USD,26651 ,EUR,3000000
2198,USD,3187700 ,USD,26676 ,USD,1500000 
2199,USD,26676 ,USD,26676 ,,
2200,USD,26682 ,USD,26682 ,,
2201,USD,26731 ,USD,26731 ,,
2202,USD,173219 ,USD,26734 ,,
2203,USD,31428 ,USD,26743 ,,
2204,USD,26799 ,USD,26799 ,,
2205,USD,26816 ,USD,26816 ,,
2206,USD,26875 ,USD,26875 ,,
2207,USD,26904 ,USD,26904 ,USD,3000000 
2208,USD,66017 ,USD,26966 ,,
2209,USD,499552 ,USD,26972 ,,
2210,USD,26999 ,USD,26999 ,,
2211,USD,27000 ,USD,27000 ,USD,9000000 
2212,USD,27052 ,USD,27052 ,USD,1500000 
2213,USD,27053 ,USD,27053 ,,
2214,USD,247377 ,USD,27054 ,,
2215,USD,426491 ,USD,27079 ,USD,8000000 
2216,USD,29539 ,USD,27099 ,,
2217,USD,52307 ,USD,27156 ,USD,300000 
2218,USD,27160 ,USD,27160 ,,
2219,USD,73922 ,USD,27166 ,,
2220,,,USD,27174 ,,
2221,USD,27177 ,USD,27177 ,,
2222,USD,27182 ,USD,27182 ,,
2223,USD,27225 ,USD,27225 ,,
2224,USD,615433 ,USD,27256 ,,
2225,USD,1549251 ,USD,27276 ,USD,15000000 
2226,USD,1138322 ,USD,27349 ,USD,3500000 
2227,USD,39623 ,USD,27389 ,,
2228,USD,27455 ,USD,27455 ,,
2229,USD,27466 ,USD,27466 ,,
2230,USD,167451 ,USD,27513 ,,
2231,USD,61249 ,USD,27593 ,,
2232,USD,39924 ,USD,27595 ,,
2233,,,USD,27600 ,,
2234,USD,28815 ,USD,27611 ,,
2235,USD,1596232 ,USD,27696 ,,
2236,USD,27723 ,USD,27723 ,,
2237,USD,1090565 ,USD,27732 ,,
2238,USD,27740 ,USD,27740 ,,
2239,USD,8737458 ,USD,27741 ,,
2240,USD,18497446 ,USD,27766 ,USD,5600000 
2241,USD,28612 ,USD,27813 ,,
2242,USD,27816 ,USD,27816 ,USD,7000000 
2243,USD,27836 ,USD,27836 ,USD,500000 
2244,USD,27841 ,USD,27841 ,,
2245,USD,27843 ,USD,27843 ,,
2246,USD,27920 ,USD,27920 ,,
2247,USD,900626 ,USD,27983 ,,
2248,USD,28026 ,USD,28026 ,,
2249,USD,57342 ,USD,28030 ,,
2250,USD,38691 ,USD,28041 ,,
2251,USD,28041 ,USD,28041 ,,
2252,USD,28044 ,USD,28044 ,,
2253,USD,1232140 ,USD,28066 ,EUR,16000000
2254,USD,28071 ,USD,28071 ,,
2255,USD,28089 ,USD,28089 ,,
2256,USD,33735 ,USD,28098 ,,
2257,USD,28118 ,USD,28118 ,,
2258,USD,28149 ,USD,28149 ,USD,4000000 
2259,USD,28149 ,USD,28149 ,,
2260,USD,28180 ,USD,28180 ,,
2261,USD,28208 ,USD,28208 ,,
2262,USD,130974 ,USD,28252 ,,
2263,USD,3562793 ,USD,28293 ,EUR,8900000
2264,USD,44992 ,USD,28307 ,,
2265,USD,1140909 ,USD,28324 ,,
2266,USD,101879 ,USD,28354 ,,
2267,,,USD,28368 ,,
2268,USD,28378 ,USD,28378 ,,
2269,USD,694586 ,USD,28394 ,,
2270,USD,28409 ,USD,28409 ,,
2271,USD,28411 ,USD,28411 ,,
2272,USD,28454 ,USD,28454 ,USD,2000000 
2273,USD,89182 ,USD,28468 ,USD,5500000 
2274,USD,1228534 ,USD,28534 ,,
2275,USD,28540 ,USD,28540 ,,
2276,USD,28564 ,USD,28564 ,USD,1500000 
2277,USD,1299035 ,USD,28608 ,USD,7000000 
2278,USD,28642 ,USD,28642 ,,
2279,USD,1264277 ,USD,28648 ,,
2280,USD,28654 ,USD,28654 ,,
2281,USD,397783 ,USD,28660 ,,
2282,,,USD,28664 ,,
2283,,,USD,28676 ,,
2284,USD,270210 ,USD,28682 ,,
2285,,,USD,28769 ,,
2286,USD,28782 ,USD,28782 ,USD,1250000 
2287,USD,28791 ,USD,28791 ,,
2288,USD,28811 ,USD,28811 ,,
2289,USD,12888300 ,USD,28883 ,,
2290,,,USD,28899 ,,
2291,USD,28909 ,USD,28909 ,,
2292,,,USD,28915 ,,
2293,USD,28980 ,USD,28980 ,,
2294,USD,5923415 ,USD,29015 ,EUR,6000000
2295,USD,217499 ,USD,29058 ,,
2296,USD,171760 ,USD,29063 ,GBP,500000
2297,USD,29090 ,USD,29090 ,USD,350000 
2298,USD,29121 ,USD,29121 ,,
2299,USD,160445 ,USD,29185 ,,
2300,USD,214585 ,USD,29194 ,,
2301,USD,29245 ,USD,29245 ,USD,30000000 
2302,USD,29251 ,USD,29251 ,,
2303,USD,29258 ,USD,29258 ,,
2304,USD,4135255 ,USD,29259 ,,
2305,USD,29296 ,USD,29296 ,USD,11000000 
2306,USD,29367 ,USD,29367 ,,
2307,USD,29384 ,USD,29384 ,USD,2300000 
2308,USD,69832 ,USD,29426 ,,
2309,USD,8446185 ,USD,29472 ,,
2310,USD,86630 ,USD,29491 ,,
2311,USD,14691318 ,USD,29494 ,,
2312,USD,162373 ,USD,29505 ,USD,30000 
2313,USD,4536348 ,USD,29538 ,USD,32000000 
2314,USD,29576 ,USD,29576 ,,
2315,USD,29634 ,USD,29634 ,,
2316,USD,33103 ,USD,29647 ,,
2317,USD,29679 ,USD,29679 ,USD,28000000 
2318,USD,68912 ,USD,29683 ,,
2319,USD,196069 ,USD,29697 ,USD,1800000 
2320,USD,29731 ,USD,29731 ,USD,2500000 
2321,USD,106596 ,USD,29784 ,USD,2000000 
2322,USD,29093560 ,USD,29792 ,USD,10000000 
2323,USD,65003 ,USD,29796 ,,
2324,USD,35588 ,USD,29813 ,,
2325,USD,29815 ,USD,29815 ,USD,7000000 
2326,USD,1585867 ,USD,29864 ,VEB,4273248
2327,USD,29866 ,USD,29866 ,,
2328,USD,29874 ,USD,29874 ,,
2329,,,USD,29881 ,,
2330,USD,65708 ,USD,30000 ,,
2331,USD,132221 ,USD,30005 ,,
2332,USD,36099 ,USD,30070 ,,
2333,USD,30104 ,USD,30104 ,USD,500000 
2334,USD,205350 ,USD,30110 ,,
2335,USD,209722 ,USD,30115 ,EUR,6000000
2336,USD,56493 ,USD,30116 ,,
2337,USD,30142 ,USD,30142 ,USD,1700000 
2338,USD,7860447 ,USD,30142 ,,
2339,USD,6571302 ,USD,30148 ,,
2340,USD,321768 ,USD,30157 ,,
2341,USD,30158 ,USD,30158 ,USD,1000000 
2342,USD,30160 ,USD,30160 ,,
2343,USD,150443 ,USD,30169 ,,
2344,USD,30186 ,USD,30186 ,,
2345,USD,4621974 ,USD,30207 ,,
2346,USD,30209 ,USD,30209 ,,
2347,USD,30229 ,USD,30229 ,,
2348,USD,60714 ,USD,30230 ,INR,45000000
2349,USD,30241 ,USD,30241 ,,
2350,USD,32659 ,USD,30245 ,,
2351,USD,1470582 ,USD,30283 ,USD,10000000 
2352,USD,30312 ,USD,30312 ,USD,70000 
2353,,,USD,30324 ,,
2354,USD,30379 ,USD,30379 ,USD,8000000 
2355,USD,32964 ,USD,30400 ,,
2356,USD,30471 ,USD,30471 ,USD,6000000 
2357,USD,6098633 ,USD,30496 ,,
2358,USD,30497 ,USD,30497 ,,
2359,USD,1523691 ,USD,30577 ,,
2360,USD,38774 ,USD,30588 ,,
2361,USD,30590 ,USD,30590 ,,
2362,USD,69379 ,USD,30591 ,,
2363,USD,1636273 ,USD,30628 ,,
2364,USD,276694 ,USD,30638 ,GBP,4000000
2365,USD,999588 ,USD,30647 ,,
2366,USD,30655 ,USD,30655 ,,
2367,USD,30666 ,USD,30666 ,,
2368,USD,1581252 ,USD,30668 ,,
2369,USD,213043 ,USD,30678 ,,
2370,USD,1091132 ,USD,30680 ,USD,15000000 
2371,USD,551192 ,USD,30757 ,,
2372,USD,396044 ,USD,30800 ,,
2373,USD,30877 ,USD,30877 ,,
2374,USD,48041 ,USD,30905 ,USD,930000 
2375,USD,55668 ,USD,30911 ,,
2376,USD,30915 ,USD,30915 ,,
2377,USD,30945 ,USD,30945 ,,
2378,USD,41624 ,USD,30949 ,,
2379,USD,30955 ,USD,30955 ,USD,2000000 
2380,USD,30964 ,USD,30964 ,,
2381,USD,50721 ,USD,30989 ,,
2382,USD,5228683 ,USD,31008 ,,
2383,USD,31031 ,USD,31031 ,USD,150000 
2384,USD,52231 ,USD,31046 ,,
2385,USD,31056 ,USD,31056 ,,
2386,,,USD,31071 ,,
2387,USD,2631275 ,USD,31081 ,USD,6000000 
2388,USD,31100 ,USD,31100 ,,
2389,USD,31133 ,USD,31133 ,,
2390,USD,558489 ,USD,31160 ,,
2391,USD,35714 ,USD,31177 ,,
2392,USD,31211 ,USD,31211 ,,
2393,USD,137341 ,USD,31216 ,,
2394,USD,31288 ,USD,31288 ,,
2395,USD,31309 ,USD,31309 ,,
2396,USD,31425 ,USD,31425 ,,
2397,,,USD,31430 ,,
2398,USD,31433 ,USD,31433 ,USD,500000 
2399,USD,31452 ,USD,31452 ,,
2400,USD,31478 ,USD,31478 ,USD,2500000 
2401,USD,31539 ,USD,31539 ,,
2402,USD,37743 ,USD,31539 ,,
2403,USD,31551 ,USD,31551 ,,
2404,USD,171660 ,USD,31611 ,,
2405,USD,31638 ,USD,31638 ,,
2406,USD,272791 ,USD,31651 ,USD,15000000 
2407,USD,31653 ,USD,31653 ,,
2408,USD,31687 ,USD,31687 ,,
2409,USD,31738 ,USD,31738 ,,
2410,USD,15441412 ,USD,31747 ,,
2411,USD,31815 ,USD,31815 ,,
2412,USD,31849 ,USD,31849 ,,
2413,USD,40010 ,USD,31856 ,,
2414,USD,133324 ,USD,31900 ,,
2415,USD,31908 ,USD,31908 ,,
2416,USD,601737 ,USD,31982 ,BRL,20000000
2417,USD,63095 ,USD,32014 ,,
2418,USD,32033 ,USD,32033 ,USD,500000 
2419,USD,32050 ,USD,32050 ,,
2420,USD,866211 ,USD,32111 ,EUR,6500000
2421,USD,128858 ,USD,32127 ,,
2422,USD,34483 ,USD,32140 ,,
2423,USD,78270 ,USD,32163 ,,
2424,USD,935236 ,USD,32164 ,CNY,200000
2425,USD,115335 ,USD,32188 ,,
2426,USD,13608637 ,USD,32211 ,USD,4000000 
2427,USD,32212 ,USD,32212 ,,
2428,USD,408918 ,USD,32251 ,USD,6000000 
2429,,,USD,32279 ,,
2430,USD,1232286 ,USD,32286 ,,
2431,USD,427083 ,USD,32381 ,USD,1234567 
2432,,,USD,32395 ,,
2433,USD,32427 ,USD,32427 ,,
2434,,,USD,32443 ,,
2435,USD,36831030 ,USD,32445 ,,
2436,USD,716888 ,USD,32500 ,USD,6000000 
2437,USD,341847 ,USD,32516 ,,
2438,USD,39599 ,USD,32556 ,,
2439,USD,32608 ,USD,32608 ,,
2440,USD,32625 ,USD,32625 ,,
