,show_id,type,title,day,month,year,duration,duration_unit,rating,director,cast,country,date_added,listed_in,description
2807,80039813,TV Show,Wet Hot American Summer,31,7,2015,1,Season,TV-MA,,"Elizabeth Banks, Lake Bell, H. Jon Benjamin, Michael Ian Black, Michael Cera, Josh Charles, Bradley Cooper, Judah Friedlander, Janeane Garofalo, Jon Hamm, Nina Hellman, Joe Lo Truglio, Ken Marino, Christopher Meloni, A.D. Miles, Marguerite Moreau, Zak Orth, Jordan Peele, David Hyde Pierce, Chris Pine, Amy Poehler, Paul Rudd, Marisa Ryan, Jason Schwartzman, Molly Shannon, Michael Showalter, John Slattery, Kevin Sussman, David Wain, Kristen Wiig",United States,2015-07-31,TV Comedies,"It's the first day of camp in this outrageous prequel to the hilarious 2001 cult classic movie. And at Camp Firewood, anything can happen."
2808,81151899,TV Show,7 (Seven),30,7,2019,1,Season,TV-14,Nizar Shafi,"Rahman, Havish, Regina Cassandra, Nandita Swetha, Anisha Ambrose, Tridha Choudhury, Pujitha Ponnada, Aditi Arya",India,2019-07-30,TV Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
2816,80211648,TV Show,The Last Czars,3,7,2019,1,Season,TV-MA,,"Robert Jack, Susanna Herbert, Ben Cartwright, Oliver Dimsdale, Gavin Mitchell, Elsie Bennett, Bernice Stegers",United States,2019-07-03,"Docuseries, TV Dramas","When social upheaval sweeps Russia in the early 20th century, Czar Nicholas II resists change, sparking a revolution and ending a dynasty."
2823,80210294,TV Show,Twelve Forever,29,7,2019,1,Season,TV-Y7,,"Kelsy Abbott, Antony Del Rio, Jaylen Barron, Matt Berry, Bridget Everett, Brandon Wardell, Steve Agee, Spencer Rothbell, Nick Sumida, Ashley Boettcher, Wade Randolph",United States,2019-07-29,Kids' TV,Reggie's wild imagination unlocks a weird and wonderful world where she can be herself – and escape the pressures of growing up.
2831,80092926,TV Show,Daughters of Destiny,28,7,2017,1,Season,TV-PG,Vanessa Roth,,United States,2017-07-28,Docuseries,Five girls from India's most impoverished families attend a boarding school designed to create opportunities as they strive for a brighter future.
2836,80242950,TV Show,Smoking,27,7,2018,1,Season,TV-MA,,"Ryo Ishibashi, Nobuaki Kaneko, Tomomi Maruyama, Kaito Yoshimura",Japan,2018-07-27,"Crime TV Shows, International TV Shows, TV Action & Adventure","Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled."
2838,80212251,TV Show,Welcome to the Family,27,7,2018,1,Season,TV-MA,,"Melani Olivares, Ivan Massagué, Yolanda Ramos, Nao Albet, Georgina Amorós, Leïti Sène, Nonna Cardoner",Spain,2018-07-27,"International TV Shows, TV Comedies, TV Dramas","When an evicted single mom's estranged father dies, she and his second wife cover up his death after learning they've been written out of his will."
2842,81032626,TV Show,Fake or Fortune?,26,7,2019,1,Season,TV-G,,"Fiona Bruce, Philip Mould, Bendor Grosvenor",United Kingdom,2019-07-26,"British TV Shows, Crime TV Shows, Docuseries",Fiona Bruce and Philip Mould use investigative skills and scientific techniques to determine if paintings are real or just impressive forgeries.
2845,80233104,TV Show,Love Your Garden,26,7,2019,1,Season,TV-G,,"Alan Titchmarsh, David Domoney, Frances Tophill, Katie Rushworth",United Kingdom,2019-07-26,"British TV Shows, International TV Shows, Reality TV",Famed horticulturist Alan Titchmarsh hosts this uplifting show in which he and his team travel the U.K. planting dream gardens for deserving citizens.
2846,80228129,TV Show,Mary Portas: Secret Shopper,26,7,2019,1,Season,TV-14,,Mary Portas,United Kingdom,2019-07-26,"British TV Shows, International TV Shows, Reality TV",Retail consultant Mary Portas collaborates with Britain's most complained-about stores to help them better serve fed-up customers.
