,show_id,type,title,day,month,year,duration,duration_unit,rating,director,cast,country,date_added,listed_in,description
2,70234439,TV Show,Transformers Prime,8,9,2018,1,Season,TV-Y7-FV,,"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",United States,2018-09-08,Kids' TV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron."
3,80058654,TV Show,Transformers: Robots in Disguise,8,9,2018,1,Season,TV-Y7,,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",United States,2018-09-08,Kids' TV,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind."
5,80163890,TV Show,Apaches,8,9,2017,1,Season,TV-MA,,"Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac",Spain,2017-09-08,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
8,80117902,TV Show,Fire Chasers,8,9,2017,1,Season,TV-MA,,,United States,2017-09-08,"Docuseries, Science & Nature TV","As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries."
26,80244601,TV Show,Castle of Stars,7,9,2018,1,Season,TV-14,,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",,2018-09-07,"International TV Shows, Romantic TV Shows, TV Comedies","As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life."
28,80190843,TV Show,First and Last,7,9,2018,1,Season,TV-MA,,,,2018-09-07,Docuseries,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
34,80221550,TV Show,Archibald's Next Big Thing,6,9,2019,1,Season,TV-Y7,,"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren",,2019-09-06,"Kids' TV, TV Comedies","Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!"
39,80178151,TV Show,The Spy,6,9,2019,1,Season,TV-MA,,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",France,2019-09-06,"International TV Shows, TV Dramas, TV Thrillers","In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad."
54,80113482,TV Show,No Tomorrow,5,9,2017,1,Season,TV-14,,"Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz",United States,2017-09-05,"Romantic TV Shows, TV Comedies, TV Dramas","Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot."
61,80113641,TV Show,Frequency,4,9,2017,1,Season,TV-14,,"Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar",United States,2017-09-04,"Crime TV Shows, TV Dramas, TV Mysteries","A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp."
63,80996949,TV Show,Adam Ruins Everything,30,9,2018,1,Season,TV-14,,"Adam Conover, Adam Lustick, Emily Axford",United States,2018-09-30,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways."
64,80239337,TV Show,Ben 10,30,9,2018,1,Season,TV-Y7,,"Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara",United States,2018-09-30,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.
66,81011682,TV Show,Christiane Amanpour: Sex & Love Around the World,30,9,2018,1,Season,TV-MA,,,United States,2018-09-30,Docuseries,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports."
67,80128317,TV Show,The Eighties,30,9,2018,1,Season,TV-PG,,,United States,2018-09-30,Docuseries,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today."
68,81027384,TV Show,The Nineties,30,9,2018,1,Season,TV-14,,,United States,2018-09-30,Docuseries,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.
69,80030186,TV Show,The Seventies,30,9,2018,1,Season,TV-PG,,,United States,2018-09-30,Docuseries,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events."
70,80116921,TV Show,We Bare Bears,30,9,2018,1,Season,TV-Y7,,"Eric Edelstein, Demetri Martin, Bobby Moynihan",United States,2018-09-30,"Kids' TV, TV Comedies","Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world."
72,80181555,TV Show,The Royal House of Windsor,30,9,2017,1,Season,TV-14,,,United Kingdom,2017-09-30,"British TV Shows, Docuseries, International TV Shows","Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more."
74,80184358,TV Show,Lovesick,3,9,2018,1,Season,TV-14,,"Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin",,2018-09-03,"International TV Shows, Romantic TV Shows, TV Dramas",Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.
80,80163293,TV Show,Mak Cun,29,9,2017,1,Season,TV-PG,,"Erma Fatima, Rahim Razali, Umie Aida, Nora Danish",,2017-09-29,"International TV Shows, TV Comedies, TV Dramas",A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.
83,80199032,TV Show,Paul Hollywood's Big Continental Road Trip,29,9,2017,1,Season,TV-14,,Paul Hollywood,United Kingdom,2017-09-29,"British TV Shows, Docuseries, International TV Shows","Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany."
84,80180449,TV Show,Satu Hari,29,9,2017,1,Season,TV-14,,"Sara Ali, Remy Ishak, Rita Rudaini, Mirza Salihovic, Hafizul Kamal, Miller Khan",,2017-09-29,"International TV Shows, TV Dramas","A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty."
93,80201933,TV Show,Made in Mexico,28,9,2018,1,Season,TV-MA,,,United States,2018-09-28,"International TV Shows, Reality TV, Spanish-Language TV Shows","These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles."
99,80225885,TV Show,Bard of Blood,27,9,2019,1,Season,TV-MA,,"Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain",India,2019-09-27,"International TV Shows, TV Action & Adventure, TV Dramas","Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission."
101,80218107,TV Show,Dragons: Rescue Riders,27,9,2019,1,Season,TV-Y,,"Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin",,2019-09-27,"Kids' TV, TV Comedies","Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way."
103,80220715,TV Show,Skylines,27,9,2019,1,Season,TV-MA,,"Edin Hasanovic, Peri Baumeister, Murathan Muslu, Erdal Yıldız, Richy Müller, Anna Herrmann, Sahin Eryilmaz, Lisa Maria Potthoff, Carol Schuler, Dustin Jérôme Schanz, Nimo, Christopher Schärf, Slavko Popadic",,2019-09-27,"Crime TV Shows, International TV Shows, TV Dramas",A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.
105,80241248,TV Show,The Politician,27,9,2019,1,Season,TV-14,,"Ben Platt, Gwyneth Paltrow, Jessica Lange, Zoey Deutch, Lucy Boynton, Bob Balaban, David Corenswet, Julia Schlaepfer, Laura Dreyfuss, Theo Germaine, Rahne Jones, Benjamin Barrett",United States,2019-09-27,"TV Comedies, TV Dramas, Teen TV Shows",Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.
111,81025403,TV Show,The Inmate,26,9,2019,1,Season,TV-MA,,"Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo Sánchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, Ramón Medína, Erik Hayser, Tiaré Scanda",Mexico,2019-09-26,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.
131,80238106,TV Show,Team Kaylie,23,9,2019,1,Season,TV-PG,,"Bryana Salaz, Alison Fernandez, Symera Jackson, Elie Samouhi, Kai Calhoun, Eliza Pryor, Rosa Blasi, Nicole Sullivan, David Gridley",,2019-09-23,"Kids' TV, TV Comedies","After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader."
135,81004814,TV Show,BONDING,22,9,2019,1,Season,TV-MA,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould",United States,2019-09-22,"TV Comedies, TV Dramas",A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.
146,81095101,TV Show,Vagabond,21,9,2019,1,Season,TV-MA,,"Lee Seung-gi, Bae Suzy, Shin Sung-rok, Moon Jung-hee, Baek Yoon-sik, Moon Sung-keun, Lee Gyoung-young, Lee Ki-young, Kim Min-jong, Jung Man-sik, Hwang Bo-ra",South Korea,2019-09-21,"International TV Shows, Korean TV Shows, TV Action & Adventure","When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri."
147,80195173,TV Show,Battlefish,21,9,2018,1,Season,TV-MA,,,,2018-09-21,"Reality TV, Science & Nature TV, TV Action & Adventure","Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast."
148,80241960,TV Show,DRAGON PILOT: Hisone & Masotan,21,9,2018,1,Season,TV-14,,"Misaki Kuno, Tomoyo Kurosawa, Maki Kawase, Satomi Arai, Kaori Nazuka, Romi Park, Yuki Kaji, Yukitoshi Tokumoto, Rie Kugimiya, Junichi Suwabe, Jouji Nakata",Japan,2018-09-21,"Anime Series, International TV Shows",Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.
149,80115346,TV Show,Hilda,21,9,2018,1,Season,TV-Y7,,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States",2018-09-21,Kids' TV,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city."
150,80124522,TV Show,Maniac,21,9,2018,1,Season,TV-MA,,"Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke",United States,2018-09-21,"TV Comedies, TV Dramas, TV Mysteries",Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.
153,80157073,TV Show,The Good Cop,21,9,2018,1,Season,TV-PG,,"Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.",United States,2018-09-21,"Crime TV Shows, TV Comedies, TV Dramas","When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad."
155,81020513,TV Show,Criminal: France,20,9,2019,1,Season,TV-MA,,"Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay, Mhamed Arezki, Sara Giraudeau, Nathalie Baye, Jérémie Renier",,2019-09-20,"Crime TV Shows, International TV Shows, TV Dramas","Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance."
156,81020518,TV Show,Criminal: Germany,20,9,2019,1,Season,TV-MA,,"Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora",,2019-09-20,"Crime TV Shows, International TV Shows, TV Dramas","In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all."
157,81020523,TV Show,Criminal: Spain,20,9,2019,1,Season,TV-MA,Mariano Barroso,"Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada",,2019-09-20,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost."
158,80216172,TV Show,Criminal: UK,20,9,2019,1,Season,TV-MA,,"Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland","United Kingdom, France, Germany, Spain",2019-09-20,"British TV Shows, Crime TV Shows, International TV Shows","Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime."
160,80184771,TV Show,Inside Bill's Brain: Decoding Bill Gates,20,9,2019,1,Season,TV-14,,Bill Gates,United States,2019-09-20,"Docuseries, Science & Nature TV",Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.
161,81000389,TV Show,The Hockey Girls,20,9,2019,1,Season,TV-MA,"Kiko Cruz Claverol, Patricia Font","Iria del Río, Nora Navas, Josep Linuesa, Natàlia Barrientos, Dèlia Brufau, Yasmina Drissi Sales, Júlia Gibert, Mireia Oriol, Asia Ortega Leiva, Claudia Riera, Mireia Aixalà, Juli Fàbregas, Àgata Roca, Marc Clotet",Spain,2019-09-20,"International TV Shows, TV Comedies, TV Dramas","The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance."
164,80244627,TV Show,Two Sentence Horror Stories,20,9,2019,1,Season,TV-14,,"Nicole Kang, Jim Parrack, Tara Pacheco, Christopher Shyer, Kimberley Wong, Wai Ching Ho, Greta Quispe, Zaria Degenhardt, Uly Schlesinger, Kate Jennings Grant, Aleyse Shannon, Guillermo Arribas, Jaiden Smith, Pepper Binkley, Mikelle Wright-Matos, Melinda Mo",United States,2019-09-20,"TV Horror, Teen TV Shows",This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.
166,80189183,TV Show,Mobile Suit Gundam UC,20,9,2018,1,Season,TV-14,,"Kouki Uchiyama, Ayumi Fujimura, Hiro Shimono, Haruka Tomatsu, Daisuke Namikawa, Megumi Toyoguchi, Yuhko Kaida, Shuichi Ikeda, Tetsuya Kakihara",Japan,2018-09-20,"Anime Series, International TV Shows","When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence."
170,80224294,TV Show,Monkey Twins,2,9,2018,1,Season,TV-MA,,"Phakin Khamwilaisak, Sumret Muengput, Alisa Kunkwaeng, Zozeen Panyanut Jirarottanakasem, Akarat Nimitchai, Warawut Poyim, Vithaya Pansringarm, Phutharit Prombandal, Kazu Patrick Tang",Thailand,2018-09-02,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring."
174,80128096,TV Show,Chef's Table: France,2,9,2016,1,Season,TV-14,,,,2016-09-02,Docuseries,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.
175,80057610,TV Show,Kulipari: An Army of Frogs,2,9,2016,1,Season,TV-Y7-FV,,"Mark Hamill, Keith David, Wendie Malick, Josh Keaton, Mikey Kelley, Phil LaMarr, Laraine Newman, Jess Harnell, Charles Adler, Amy Margolis, Cree Summer, Lacey Chabert, Rolonda Watts, Kevin Michael Richardson, Candi Milo",United States,2016-09-02,Kids' TV,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians."
180,70259208,TV Show,Transformers: Rescue Bots,19,9,2018,1,Season,TV-Y7,,"Lacey Chabert, Elan Garfias, Maurice LaMarche, Jason Marsden, Shannon McKain, Steve Blum, Parvesh Cheena, D.C. Douglas, Imari Williams, LeVar Burton, Diamond White","Canada, United States",2018-09-19,Kids' TV,"Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders."
182,80176878,TV Show,Manhunt,19,9,2017,1,Season,TV-14,,"Sam Worthington, Paul Bettany, Chris Noth, Jeremy Bobb, Ben Weber, Lynn Collins, Brían F. O'Byrne, Keisha Castle-Hughes, Mark Duplass, Elizabeth Reaser, Diesel Madkins",United States,2017-09-19,"Crime TV Shows, TV Dramas, TV Mysteries","Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber."
190,81144925,TV Show,When the Camellia Blooms,18,9,2019,1,Season,TV-14,,"Kong Hyo-jin, Kang Ha-neul, Kim Ji-seok, Oh Jung-se, Yeom Hye-ran, Son Dam-bi, Ji E-su, Go Du-sim",South Korea,2019-09-18,"International TV Shows, Korean TV Shows, Romantic TV Shows","Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her."
193,80136785,TV Show,Forget Me Not,18,9,2017,1,Season,TV-MA,,,United Kingdom,2017-09-18,"International TV Shows, TV Dramas","Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?"
194,80135278,TV Show,The Beat,18,9,2017,1,Season,TV-PG,,"Henley Hii, Yise Loo, Aric Ho, Tiffany Leong, Issac Dang, Christy Yow",,2017-09-18,"International TV Shows, TV Dramas","The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group."
195,80136452,TV Show,Timeless Season,18,9,2017,1,Season,TV-14,,"Loo Aye Keng, Chen Ke Mei, Hady, Hishiko Woo, Jiang Pei Pei, Steve Yap",,2017-09-18,"International TV Shows, TV Dramas","A decade after college, a wake reunites five female friends struggling with illness, infidelity, toxic in-laws, spousal abuse and other life issues."
198,70178604,TV Show,Ancient Aliens,17,9,2019,1,Season,TV-PG,,Robert Clotworthy,United States,2019-09-17,"Docuseries, Science & Nature TV","Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?"
203,80219119,TV Show,The Last Kids on Earth,17,9,2019,1,Season,TV-Y7-FV,,"Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David",United States,2019-09-17,"Kids' TV, TV Comedies","When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos."
205,80165072,TV Show,Click for Murder,17,9,2017,1,Season,TV-14,,Donal MacIntyre,United Kingdom,2017-09-17,"British TV Shows, Crime TV Shows, Docuseries",Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.
214,70251519,TV Show,America's Book of Secrets,15,9,2019,1,Season,TV-14,,Jonathan Adams,United States,2019-09-15,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion."
215,81174992,TV Show,Bakugan: Battle Planet,15,9,2019,1,Season,TV-PG,,"Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes","Japan, Canada, South Korea",2019-09-15,"Anime Series, Kids' TV",Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
216,81044365,TV Show,Cold Case Files,15,9,2019,1,Season,TV-14,,,United States,2019-09-15,"Crime TV Shows, Docuseries",Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.
218,70143865,TV Show,Pawn Stars,15,9,2019,1,Season,TV-PG,,"Corey Harrison, Richard Harrison, Rick Harrison, Austin ""Chumlee"" Russell",United States,2019-09-15,Reality TV,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas."
220,81069393,TV Show,Surviving R. Kelly,15,9,2019,1,Season,TV-MA,,R. Kelly,United States,2019-09-15,Docuseries,"In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse."
221,80012550,TV Show,The Curse of Oak Island,15,9,2019,1,Season,TV-PG,,Robert Clotworthy,United States,2019-09-15,Docuseries,"On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure."
223,81176196,TV Show,The Rap Game,15,9,2019,1,Season,TV-14,,Jermaine Dupri,United States,2019-09-15,Reality TV,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.
224,70143831,TV Show,The Universe,15,9,2019,1,Season,TV-PG,,Erik Thompson,United States,2019-09-15,"Docuseries, Science & Nature TV","Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels."
225,81003648,TV Show,Al Hayba,15,9,2018,1,Season,TV-14,,"Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef",Lebanon,2018-09-15,"Crime TV Shows, International TV Shows, TV Dramas","In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love."
227,80241102,TV Show,Cabins in the Wild with Dick Strawbridge,15,9,2018,1,Season,TV-PG,,"Dick Strawbridge, William Hardie",United Kingdom,2018-09-15,"British TV Shows, International TV Shows, Reality TV","Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own."
233,80241103,TV Show,How to Live Mortgage Free with Sarah Beeny,15,9,2018,1,Season,TV-14,,,,2018-09-15,"British TV Shows, International TV Shows, Reality TV",Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.
234,80240816,TV Show,Inside The Freemasons,15,9,2018,1,Season,TV-14,,,United Kingdom,2018-09-15,"British TV Shows, Docuseries, International TV Shows","Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition."
247,80202129,TV Show,The Five,15,9,2017,1,Season,TV-MA,Mark Tonderai,"Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta",United Kingdom,2017-09-15,"British TV Shows, Crime TV Shows, TV Dramas","Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police."
250,80126566,TV Show,Wartime Portraits,15,9,2016,1,Season,TV-MA,,,Poland,2016-09-15,"Docuseries, International TV Shows","Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II."
256,80243899,TV Show,Behind the Newsroom,14,9,2018,1,Season,TV-14,,"Pok Piyatida Woramusik, Willie Ruengrit McIntosh, Charebelle Lanlalin, Tono Pakin Kumwilaisuk, Point Cholawit Meetongcom, Cee Hathaiphat, Pitta Na Pattalung, Ae Sasikarn Aphichartworasilp, Louis Pongphan Petchbuntoon, Sawitree Samipak",,2018-09-14,"International TV Shows, Romantic TV Shows, TV Dramas","Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions."
258,80220035,TV Show,Boca Juniors Confidential,14,9,2018,1,Season,TV-PG,,,,2018-09-14,"Docuseries, International TV Shows, Spanish-Language TV Shows","Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club."
259,80194704,TV Show,Car Masters: Rust to Riches,14,9,2018,1,Season,TV-PG,,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",,2018-09-14,Reality TV,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
260,80225949,TV Show,Norm Macdonald Has a Show,14,9,2018,1,Season,TV-MA,,,United States,2018-09-14,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.
262,81002336,TV Show,Super Monsters Monster Party,14,9,2018,1,Season,TV-Y,,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",,2018-09-14,Kids' TV,"Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!"
265,80993613,TV Show,The Rise of Phoenixes,14,9,2018,1,Season,TV-14,,"Chen Kun, Ni Ni, Zhao Lixin, Ni Dahong, Yuan Hong, Wang Ou, Bai Jinting, Zhang Xiaochen, Mei Ting, Liu Mintao, Yu Mingjia, Hou Yansong, Hai Yitian, Shi An, Shao Tong",China,2018-09-14,"International TV Shows, Romantic TV Shows, TV Action & Adventure","When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves."
270,81095103,TV Show,Kabaneri of the Iron Fortress: The Battle of Unato,13,9,2019,1,Season,TV-MA,,"Tasuku Hatanaka, Sayaka Senbongi, Maaya Uchida, Toshiki Masuda, Kanae Oki, Mariya Ise, Ryota Osaka, Kensuke Sato, Maxwell Powers, Shinichiro Miki",,2019-09-13,"Anime Series, International TV Shows, TV Horror","Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde."
272,80217779,TV Show,Marianne,13,9,2019,1,Season,TV-MA,,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat",France,2019-09-13,"International TV Shows, TV Dramas, TV Horror","Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world."
273,80211572,TV Show,Monarca,13,9,2019,1,Season,TV-MA,,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza",Mexico,2019-09-13,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets."
277,80217669,TV Show,Top Boy,13,9,2019,1,Season,TV-MA,,"Ashley Walters, Kane Robinson, Micheal Ward, Shone Romulus, Simbiatu Ajikawo, Lisa Dwan, David Omoregie, Jasmine Jobson, Hope Ikpoku Jr., Araloyin Oshunremi, Keiyon Cook",United Kingdom,2019-09-13,"British TV Shows, Crime TV Shows, International TV Shows","Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler."
